[2026-04-10 15:25:02] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 12 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-10 15:44:57] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:28 | Traffic spike from a single source detected | 10.10.10.50 generated 89/437 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:44:57] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:29 | Traffic spike from a single source detected | 10.10.10.50 generated 90/438 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:44:57] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:30 | Traffic spike from a single source detected | 10.10.10.50 generated 91/439 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:44:57] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:31 | Traffic spike from a single source detected | 10.10.10.50 generated 92/440 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:44:57] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:32 | Traffic spike from a single source detected | 10.10.10.50 generated 93/441 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:44:57] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:33 | Traffic spike from a single source detected | 10.10.10.50 generated 94/442 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:44:57] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:34 | Traffic spike from a single source detected | 10.10.10.50 generated 95/443 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:44:57] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:35 | Traffic spike from a single source detected | 10.10.10.50 generated 96/444 packets in the last 20 seconds (22% of recent traffic).
[2026-04-10 15:44:59] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:20 | Traffic spike from a single source detected | 10.10.10.50 generated 97/514 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:44:59] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:21 | Traffic spike from a single source detected | 10.10.10.50 generated 98/515 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:44:59] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:22 | Traffic spike from a single source detected | 10.10.10.50 generated 99/516 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:44:59] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:23 | Traffic spike from a single source detected | 10.10.10.50 generated 100/517 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:44:59] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:24 | Traffic spike from a single source detected | 10.10.10.50 generated 101/518 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:44:59] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:25 | Traffic spike from a single source detected | 10.10.10.50 generated 102/519 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:44:59] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:26 | Traffic spike from a single source detected | 10.10.10.50 generated 103/520 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:44:59] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 16 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-10 15:45:02] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-10 15:45:02] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 121 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-10 15:45:02] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 281/615 packets in the last 20 seconds (46% of recent traffic).
[2026-04-10 15:45:02] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 26 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-10 15:45:02] [WARNING] ANOM-TRAFFIC-SPIKE | 192.168.56.77 -> 192.168.1.1 | Traffic spike from a single source detected | 192.168.56.77 generated 176/655 packets in the last 20 seconds (27% of recent traffic).
[2026-04-10 15:45:03] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-10 15:45:03] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-10 15:45:05] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:27 | Traffic spike from a single source detected | 10.10.10.50 generated 120/606 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:05] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:28 | Traffic spike from a single source detected | 10.10.10.50 generated 121/607 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:05] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:29 | Traffic spike from a single source detected | 10.10.10.50 generated 122/608 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:05] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:30 | Traffic spike from a single source detected | 10.10.10.50 generated 123/609 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:05] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:31 | Traffic spike from a single source detected | 10.10.10.50 generated 124/610 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:05] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:32 | Traffic spike from a single source detected | 10.10.10.50 generated 125/611 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:05] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:33 | Traffic spike from a single source detected | 10.10.10.50 generated 126/612 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:45:05] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:34 | Traffic spike from a single source detected | 10.10.10.50 generated 127/613 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:45:05] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:35 | Traffic spike from a single source detected | 10.10.10.50 generated 128/614 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:45:07] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:20 | Traffic spike from a single source detected | 10.10.10.50 generated 113/599 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:45:07] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:21 | Traffic spike from a single source detected | 10.10.10.50 generated 114/600 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:45:07] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:22 | Traffic spike from a single source detected | 10.10.10.50 generated 115/601 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:45:07] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:23 | Traffic spike from a single source detected | 10.10.10.50 generated 116/602 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:45:07] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:24 | Traffic spike from a single source detected | 10.10.10.50 generated 117/603 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:45:07] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:25 | Traffic spike from a single source detected | 10.10.10.50 generated 118/604 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:08] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 16 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-10 15:45:08] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:26 | Traffic spike from a single source detected | 10.10.10.50 generated 119/605 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:10] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-10 15:45:10] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 121 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-10 15:45:10] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 281/615 packets in the last 20 seconds (46% of recent traffic).
[2026-04-10 15:45:11] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 26 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-10 15:45:11] [WARNING] ANOM-TRAFFIC-SPIKE | 192.168.56.77 -> 192.168.1.1 | Traffic spike from a single source detected | 192.168.56.77 generated 176/655 packets in the last 20 seconds (27% of recent traffic).
[2026-04-10 15:45:11] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-10 15:45:11] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-10 15:45:13] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:27 | Traffic spike from a single source detected | 10.10.10.50 generated 120/606 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:13] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:28 | Traffic spike from a single source detected | 10.10.10.50 generated 121/607 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:13] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:29 | Traffic spike from a single source detected | 10.10.10.50 generated 122/608 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:13] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:30 | Traffic spike from a single source detected | 10.10.10.50 generated 123/609 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:13] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:31 | Traffic spike from a single source detected | 10.10.10.50 generated 124/610 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:13] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:32 | Traffic spike from a single source detected | 10.10.10.50 generated 125/611 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:13] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:33 | Traffic spike from a single source detected | 10.10.10.50 generated 126/612 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:45:13] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:34 | Traffic spike from a single source detected | 10.10.10.50 generated 127/613 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:45:13] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:35 | Traffic spike from a single source detected | 10.10.10.50 generated 128/614 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:45:16] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 16 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-10 15:45:16] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:20 | Traffic spike from a single source detected | 10.10.10.50 generated 113/599 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:45:16] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:21 | Traffic spike from a single source detected | 10.10.10.50 generated 114/600 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:45:16] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:22 | Traffic spike from a single source detected | 10.10.10.50 generated 115/601 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:45:16] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:23 | Traffic spike from a single source detected | 10.10.10.50 generated 116/602 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:45:16] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:24 | Traffic spike from a single source detected | 10.10.10.50 generated 117/603 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:45:16] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:25 | Traffic spike from a single source detected | 10.10.10.50 generated 118/604 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:16] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:26 | Traffic spike from a single source detected | 10.10.10.50 generated 119/605 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:19] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-10 15:45:19] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 121 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-10 15:45:19] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 281/615 packets in the last 20 seconds (46% of recent traffic).
[2026-04-10 15:45:19] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 26 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-10 15:45:19] [WARNING] ANOM-TRAFFIC-SPIKE | 192.168.56.77 -> 192.168.1.1 | Traffic spike from a single source detected | 192.168.56.77 generated 176/650 packets in the last 20 seconds (27% of recent traffic).
[2026-04-10 15:45:19] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-10 15:45:19] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-10 15:45:22] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:27 | Traffic spike from a single source detected | 10.10.10.50 generated 120/606 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:22] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:28 | Traffic spike from a single source detected | 10.10.10.50 generated 121/607 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:22] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:29 | Traffic spike from a single source detected | 10.10.10.50 generated 122/608 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:22] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:30 | Traffic spike from a single source detected | 10.10.10.50 generated 123/609 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:22] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:31 | Traffic spike from a single source detected | 10.10.10.50 generated 124/610 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:22] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:32 | Traffic spike from a single source detected | 10.10.10.50 generated 125/611 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:45:22] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:33 | Traffic spike from a single source detected | 10.10.10.50 generated 126/612 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:45:22] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:34 | Traffic spike from a single source detected | 10.10.10.50 generated 127/613 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:45:22] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:35 | Traffic spike from a single source detected | 10.10.10.50 generated 128/614 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:45:24] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 16 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-10 15:45:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:20 | Traffic spike from a single source detected | 10.10.10.50 generated 113/599 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:45:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:21 | Traffic spike from a single source detected | 10.10.10.50 generated 114/600 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:45:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:22 | Traffic spike from a single source detected | 10.10.10.50 generated 115/601 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:45:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:23 | Traffic spike from a single source detected | 10.10.10.50 generated 116/602 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:45:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:24 | Traffic spike from a single source detected | 10.10.10.50 generated 117/603 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:45:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:25 | Traffic spike from a single source detected | 10.10.10.50 generated 118/604 packets in the last 20 seconds (20% of recent traffic).
